"d11","d12","d13","d14","d21","d22","d23","d24","d31","d32","d33","d34"
0.197079157495716,0.197079157495716,0.197079157495717,0.197079157495717,0.0282779171994895,0.0282779171994895,0.0282779171994895,0.0282779171994895,0.024642925304794,0.024642925304794,0.024642925304794,0.024642925304794
0.196540025971021,0.19654002597102,0.196540025971021,0.196540025971021,0.0285557338569942,0.0285557338569942,0.0285557338569942,0.0285557338569942,0.0249042401719848,0.0249042401719848,0.0249042401719848,0.0249042401719848
0.155910820587084,0.0440389734788521,0.0119326948058045,0.0119326948058046,0.0610001324104271,0.031636355963855,0.0169387159683487,0.00719565913766615,0.278911302830569,0.278911302830569,0.0507956735905092,0.0507956735905092
0.199420512404557,0.114919834639927,0.0713680622079244,0.0430877911625624,0.0859944630784836,0.0441522543271751,0.0238086947450989,0.0102308006804758,0.238215323053569,0.0993390133992503,0.0491504198101766,0.0203128304908003
0.0770051515403375,0.141554121456321,0.183539388443176,0.270305857338679,0.0855896692694985,0.0489317185116915,0.0307360567188764,0.0119248758330429,0.0784783678174761,0.0406148788991305,0.0219604296305442,0.00935948454122729
0.0152035961235407,0.015203596123539,0.0152035961235423,0.0152035961235427,0.170092416305296,0.170092416305296,0.170092416305296,0.170092416305296,0.041113715991606,0.041113715991606,0.0411137159916061,0.135474802309834
0.19779626889498,0.19779626889498,0.197796268894981,0.197796268894981,0.0278904304704671,0.0278904304704671,0.0278904304704671,0.0278904304704671,0.0243133006345524,0.0243133006345524,0.0243133006345524,0.0243133006345524
0.118422738134261,0.118422738134261,0.118422738134262,0.118422738134262,0.00903231695377828,0.0211330070416061,0.0211330070416061,0.0583775201294576,0.157168067969981,0.157168067969981,0.0733180782930525,0.0289789820634923
0.062396035444585,0.120250110290076,0.120250110290076,0.0623960354445852,0.10931180523977,0.056867117746506,0.10931180523977,0.056867117746506,0.0755874656395316,0.0755874656395316,0.0755874656395316,0.0755874656395316
0.0248269070604061,0.0248269070604015,0.0248269070604104,0.024826907060411,0.00400031462788111,0.00931656568745679,0.0174483730167893,0.0332209738915344,0.126888137168742,0.163593032529249,0.218879653283348,0.327345321553372
0.126994374668381,0.12699437466838,0.126994374668383,0.126994374668383,0.0127256198666784,0.0127256198666785,0.0127256198666783,0.0127256198666784,0.11028000546494,0.11028000546494,0.11028000546494,0.11028000546494
0.132333452307329,0.132333452307328,0.132333452307329,0.132333452307329,0.047587431040395,0.047587431040395,0.0255284306596169,0.0109499523719318,0.196676258702292,0.0834550493187551,0.041687112141517,0.0171945254957829
0.291760229450064,0.059945404859178,0.0599454048591779,0.124662565033453,0.073192692460298,0.0375918491749279,0.0201826189193993,0.0085995839209171,0.194713443787678,0.0762916260871296,0.03757601660485,0.0155385648429279
0.0338955569464879,0.0748173166096438,0.0748173166096437,0.0748173166096438,0.16649596175016,0.16649596175016,0.166495961750161,0.166495961750161,0.0220500402738779,0.0220500402738779,0.0220500402738779,0.00951852540230497
0.101630423239215,0.212129558592318,0.212129558592318,0.212129558592318,0.00347609316927179,0.00347609316927186,0.00347609316927178,0.0175925428756842,0.0433498444964988,0.0433498444964988,0.0736301948036672,0.0736301948036672
0.197197063353602,0.197197063353601,0.197197063353602,0.197197063353602,0.0282054401904843,0.0282054401904843,0.0282054401904843,0.0282054401904843,0.0245974964559139,0.0245974964559139,0.0245974964559139,0.0245974964559139
